_id,userId,bitId,watchedMs,totalDurationMs,watchPercent,completedWatch,rewatched,replayCount,pauseCount,soundOn,tappedProduct,scrolledToProduct,addedToCart,likedDuringWatch,sharedDuringWatch,source,deviceType,timestamp,__v
{'$oid': '6a114ab6a9955ce9439583eb'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '69b99c44d5ba7b8d34df60eb'},241,15445,2,False,True,0,0,True,{'$oid': '69b99c44d5ba7b8d34df60eb'},False,False,True,False,feed,ios,{'$date': '2026-05-23T06:35:34.427Z'},0
{'$oid': '6a114ab7a9955ce94395840f'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a097fdfb7bb9861659c9a20'},517,31461,2,False,True,0,0,True,{'$oid': '6a097fdfb7bb9861659c9a20'},False,False,False,False,feed,ios,{'$date': '2026-05-23T06:35:35.178Z'},0
{'$oid': '6a114ab7a9955ce943958436'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0b4336d382a23d66b4511e'},500,30162,2,False,True,0,0,True,{'$oid': '6a0b4336d382a23d66b4511e'},False,False,False,False,feed,ios,{'$date': '2026-05-23T06:35:35.934Z'},0
{'$oid': '6a114ab9a9955ce943958467'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0c67bed4f03db64a78af0b'},311,15633,2,False,True,0,0,True,{'$oid': '6a0c67bed4f03db64a78af0b'},False,False,False,False,feed,ios,{'$date': '2026-05-23T06:35:37.182Z'},0
{'$oid': '6a114abaa9955ce943958486'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a06c0a21a9ba20ae97ce604'},576,42978,1,False,True,0,0,True,{'$oid': '6a06c0a21a9ba20ae97ce604'},False,False,True,False,feed,ios,{'$date': '2026-05-23T06:35:38.016Z'},0
{'$oid': '6a114abaa9955ce9439584ab'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0ad46fd382a23d66b3fe6d'},562,16804,3,False,True,0,0,True,{'$oid': '6a0ad46fd382a23d66b3fe6d'},False,False,False,False,feed,ios,{'$date': '2026-05-23T06:35:38.784Z'},0
{'$oid': '6a114abca9955ce9439584e5'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a101a44a9955ce94394ce5d'},400,30300,1,False,True,0,0,True,{'$oid': '6a101a44a9955ce94394ce5d'},False,False,False,False,feed,ios,{'$date': '2026-05-23T06:35:40.166Z'},0
{'$oid': '6a114abda9955ce943958508'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0febf65ecfbb647dcf6c6f'},1055,53866,2,False,True,0,0,True,{'$oid': '6a0febf65ecfbb647dcf6c6f'},False,False,True,False,feed,ios,{'$date': '2026-05-23T06:35:41.506Z'},0
{'$oid': '6a1264a5a9955ce94395d849'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0edae6ed25ae0d7deab2c8'},28442,31499,90,False,True,0,0,True,{'$oid': '6a0edae6ed25ae0d7deab2c8'},True,False,False,False,feed,android,{'$date': '2026-05-24T02:38:29.189Z'},0
{'$oid': '6a132909a9955ce943960955'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a130b7ea9955ce94395f9c6'},3196,48926,7,False,False,0,0,True,{'$oid': '6a130b7ea9955ce94395f9c6'},False,False,False,False,feed,android,{'$date': '2026-05-24T16:36:25.134Z'},0
